ElectorateNm,VoteCollectionPointNm,VoteCollectionPointId,BatchNo,PaperNo,Preferences,Match,PreferencesAfterAudit
Canberra,Chisholm,7,30,40,",6,1,,5,4,,2,,3,,,,,,,,,,,,,,,,,,,,,,",1,",6,1,,5,4,,2,,3,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Griffith,20,6,8,"3,,2,,6,1,,4,5,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,2,,6,1,,4,5,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Page,146,20,16,",6,1,,5,,3,2,,4,,,,,,,,,,,,,,,,,,,,,,",1,",6,1,,5,,3,2,,4,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Fadden,14,14,26,"9,5,1,8,2,7,3,4,10,6,,,,,,,,,,,,,,,,,,,,,,",1,"9,5,1,8,2,7,3,4,10,6,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Bonython,2,12,45,"2,5,4,6,7,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,",1,"2,5,4,6,7,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Pearce,34,32,24,",6,1,5,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,",1,",6,1,5,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,City FENNER PPVC,159,97,15,",,4,,6,2,5,3,,1,,,,,,,,,,,,,,,,,,,,,,",1,",,4,,6,2,5,3,,1,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Theodore,38,23,44,"3,8,2,9,7,4,6,5,10,1,,,,,,,,,,,,,,,,,,,,,,",1,"3,8,2,9,7,4,6,5,10,1,,,,,,,,,,,,,,,,,,,,,,"
Canberra,City CANBERRA PPVC,52,127,34,",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,",1,",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"
Fenner,Holt,136,42,3,",,1,5,4,,3,2,6,,,,,,,,,,,,,,,,,,,,,,,",1,",,1,5,4,,3,2,6,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Conder,9,22,38,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,",1,"3,,6,,5,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,"
Canberra,Curtin,11,41,19,",,,,,,,,,,10,11,,,2,5,,,,,9,3,12,6,1,4,,,7,8,,",1,",,,,,,,,,,10,11,,,2,5,,,,,9,3,12,6,1,4,,,7,8,,"
Fenner,Page,146,5,43,"5,,6,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,",1,"5,,6,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,"
